relative_path,status,before_bytes,after_bytes,started_at,finished_at,error
"cam_xuc/so_sanh_cam_xuc_binh_thuong_15_23_001.mp4",success,1172245,820146,"2026-08-16T22:30:35.1037393+07:00","2026-08-16T22:30:36.2851162+07:00",""
"cam_xuc/so_sanh_cam_xuc_binh_thuong_15_23_002.mp4",success,1679593,932482,"2026-08-16T22:30:36.2911736+07:00","2026-08-16T22:30:37.3173134+07:00",""
"cam_xuc/so_sanh_cam_xuc_binh_thuong_15_23_003.mp4",success,7684649,1583131,"2026-08-16T22:30:37.3216061+07:00","2026-08-16T22:30:39.6698945+07:00",""
"cam_xuc/so_sanh_cam_xuc_binh_thuong_15_23_004.mp4",success,3463980,2098613,"2026-08-16T22:30:39.6738975+07:00","2026-08-16T22:30:42.3175363+07:00",""
"cam_xuc/so_sanh_cam_xuc_binh_thuong_24_47_001.mp4",success,2481347,1165641,"2026-08-16T22:30:42.3205568+07:00","2026-08-16T22:30:43.5995821+07:00",""
"cam_xuc/so_sanh_cam_xuc_binh_thuong_24_47_002.mp4",skipped_small,889682,889682,"2026-08-16T22:30:43.6025824+07:00","2026-08-16T22:30:43.6040921+07:00","Source <= 1 MiB; preserved as already small."
"cam_xuc/so_sanh_cam_xuc_roi_loan_pho_tu_ky_15_23_004.mp4",success,2338385,877100,"2026-08-16T22:30:43.6181396+07:00","2026-08-16T22:30:45.0373999+07:00",""
"cam_xuc/so_sanh_cam_xuc_roi_loan_pho_tu_ky_24_47_005.mp4",skipped_not_smaller,49435018,49435018,"2026-08-16T22:30:45.0409080+07:00","2026-08-16T22:31:56.7415221+07:00","Compressed output is not smaller; source preserved."
"cam_xuc/so_sanh_cam_xuc_roi_loan_pho_tu_ky_24_47_006.mp4",success,8553906,5023438,"2026-08-16T22:31:56.7455206+07:00","2026-08-16T22:32:02.4386256+07:00",""
"cam_xuc/so_sanh_cam_xuc_roi_loan_pho_tu_ky_48_60_001.mp4",success,15563246,9274532,"2026-08-16T22:32:02.4426206+07:00","2026-08-16T22:32:10.8675909+07:00",""
"giac_quan/so_sanh_giac_quan_roi_loan_pho_tu_ky_15_23_001.mp4",success,23028287,9715042,"2026-08-16T22:32:10.8705910+07:00","2026-08-16T22:32:21.4505998+07:00",""
"giac_quan/so_sanh_giac_quan_roi_loan_pho_tu_ky_15_23_002.mp4",success,6886023,2371814,"2026-08-16T22:32:21.4525953+07:00","2026-08-16T22:32:24.8669133+07:00",""
"giac_quan/so_sanh_giac_quan_roi_loan_pho_tu_ky_15_23_003.mp4",success,16298245,9960646,"2026-08-16T22:32:24.8679130+07:00","2026-08-16T22:32:34.0860168+07:00",""
"giac_quan/so_sanh_giac_quan_roi_loan_pho_tu_ky_15_23_004.mp4",success,62152444,42970365,"2026-08-16T22:32:34.0880192+07:00","2026-08-16T22:33:11.3408949+07:00",""
"giac_quan/so_sanh_giac_quan_roi_loan_pho_tu_ky_24_47_002.mp4",success,100320765,40790349,"2026-08-16T22:33:11.3429065+07:00","2026-08-16T22:34:00.1520287+07:00",""
"giac_quan/so_sanh_giac_quan_roi_loan_pho_tu_ky_24_47_003.mp4",success,20762013,10288356,"2026-08-16T22:34:00.1540203+07:00","2026-08-16T22:34:10.4861960+07:00",""
"giac_quan/so_sanh_giac_quan_roi_loan_pho_tu_ky_48_60_002.mp4",success,1081010,434728,"2026-08-16T22:34:10.4917135+07:00","2026-08-16T22:34:11.3393102+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_15_23_001.mp4",success,1939266,1567643,"2026-08-16T22:34:11.3403105+07:00","2026-08-16T22:34:13.0144018+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_15_23_002.mp4",skipped_small,925921,925921,"2026-08-16T22:34:13.0163908+07:00","2026-08-16T22:34:13.0173921+07:00","Source <= 1 MiB; preserved as already small."
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_15_23_003.mp4",skipped_not_smaller,10738110,10738110,"2026-08-16T22:34:13.0406584+07:00","2026-08-16T22:34:22.4226412+07:00","Compressed output is not smaller; source preserved."
