"relative_path","before_duration_s","after_duration_s","duration_delta_s","before_resolution","after_resolution","before_aspect","after_aspect","aspect_delta","after_video_codec","after_audio_codec","decode_exit"
"giac_quan\so_sanh_giac_quan_roi_loan_pho_tu_ky_15_23_004.mp4","236.844","236.844","0","1280x720","1280x720","1.7778","1.7778","0","h264","aac","0"
"ngon_ngu\so_sanh_ngon_ngu_binh_thuong_24_47_022.mp4","4.017","4.017","0","640x360","640x360","1.7778","1.7778","0","h264","aac","0"
"nhan_thuc\so_sanh_nhan_thuc_roi_loan_pho_tu_ky_15_23_005.mp4","2.47","2.47","0","720x1280","720x1280","0.5625","0.5625","0","h264","aac","0"
"nhan_thuc\so_sanh_nhan_thuc_roi_loan_pho_tu_ky_24_47_011.mp4","834.92","834.92","0","1280x720","1280x720","1.7778","1.7778","0","h264","aac","0"
"quan_he_xa_hoi\so_sanh_quan_he_xa_hoi_binh_thuong_24_47_006.mp4","14.721","14.721","0","1280x720","1280x720","1.7778","1.7778","0","h264","aac","0"
"quan_he_xa_hoi\so_sanh_quan_he_xa_hoi_binh_thuong_48_60_009.mp4","89.118","89.118","0","1280x720","1280x720","1.7778","1.7778","0","h264","aac","0"
"sinh_hoat_ca_nhan\so_sanh_sinh_hoat_ca_nhan_binh_thuong_15_23_006.mp4","12.051","12.051","0","1280x720","1280x720","1.7778","1.7778","0","h264","aac","0"
"sinh_hoat_ca_nhan\so_sanh_sinh_hoat_ca_nhan_binh_thuong_48_60_002.mp4","15.627","15.627","0","1280x720","1280x720","1.7778","1.7778","0","h264","aac","0"
"sinh_hoc\so_sanh_sinh_hoc_binh_thuong_48_60_001.mp4","10.17","10.17","0","608x1080","406x720","0.563","0.5639","0.0009","h264","aac","0"
"giac_quan\so_sanh_giac_quan_roi_loan_pho_tu_ky_24_47_002.mp4","278.872","278.872","0","1920x1080","1280x720","1.7778","1.7778","0","h264","aac","0"
